time_spent_alone,stage_fear,social_event_attendance,going_outside,drained_after_socializing,friends_circle_size,post_frequency,personality
4.0,no,4.0,6.0,no,13.0,5.0,extrovert
9.0,yes,0.0,0.0,yes,0.0,3.0,introvert
9.0,yes,1.0,2.0,yes,5.0,2.0,introvert
0.0,no,6.0,7.0,no,14.0,8.0,extrovert
3.0,no,9.0,4.0,no,8.0,5.0,extrovert
1.0,no,7.0,5.0,no,6.0,6.0,extrovert
2.0,no,8.0,4.0,no,7.0,8.0,extrovert
10.0,yes,1.0,3.0,yes,0.0,3.0,introvert
0.0,no,8.0,6.0,no,13.0,8.0,extrovert
3.0,no,9.0,6.0,no,15.0,5.0,extrovert
10.0,yes,3.0,1.0,yes,4.0,0.0,introvert
3.0,no,6.0,7.0,no,14.0,10.0,extrovert
3.0,no,6.0,4.0,no,10.0,7.0,extrovert
6.0,yes,3.0,0.0,yes,1.0,3.0,introvert
0.0,no,4.0,4.0,no,8.0,8.0,extrovert
9.0,yes,0.0,0.0,yes,0.0,0.0,introvert
1.0,no,5.0,6.0,no,10.0,4.0,extrovert
5.0,yes,3.0,0.0,yes,4.0,2.0,introvert
1.0,no,7.0,5.0,no,12.0,5.0,extrovert
10.0,yes,3.0,1.0,yes,2.0,1.0,introvert
2.0,no,8.0,4.0,no,13.0,6.0,extrovert
1.0,no,6.0,7.0,no,14.0,9.0,extrovert
9.0,yes,2.0,2.0,yes,1.0,0.0,introvert
2.0,no,8.0,7.0,no,15.0,6.0,extrovert
2.0,no,8.0,4.0,no,11.0,9.0,extrovert
0.0,no,6.0,4.0,no,14.0,9.0,extrovert
4.0,no,5.0,7.0,no,6.0,6.0,extrovert
2.0,no,6.0,4.0,no,12.0,10.0,extrovert
0.0,no,9.0,4.0,no,14.0,7.0,extrovert
4.0,no,10.0,4.0,no,9.0,10.0,extrovert
4.0,no,7.0,7.0,no,7.0,9.0,extrovert
5.0,yes,3.0,3.0,yes,0.0,1.0,introvert
10.0,yes,1.0,1.0,yes,3.0,2.0,introvert
2.0,no,6.0,5.0,no,14.0,9.0,extrovert
1.0,no,4.0,4.0,no,15.0,4.0,extrovert
1.0,no,6.0,4.0,no,10.0,5.0,extrovert
10.0,yes,1.0,2.0,yes,2.0,0.0,introvert
5.0,yes,0.0,1.0,yes,5.0,0.0,introvert
3.0,no,5.0,5.0,no,13.0,5.0,extrovert
9.0,yes,1.0,3.0,yes,2.0,2.0,introvert
6.0,yes,2.0,2.0,yes,2.0,1.0,introvert
8.0,yes,2.0,1.0,yes,5.0,3.0,introvert
0.0,no,8.0,6.0,no,6.0,10.0,extrovert
4.0,no,7.0,4.0,no,13.0,10.0,extrovert
10.0,yes,1.0,2.0,yes,2.0,0.0,introvert
5.0,yes,1.0,3.0,yes,3.0,3.0,introvert
